file,role,settings
wav/impact__lib__0014.wav,impact,length_ms=2350;boom_hz=42.37;noise_ms=76.8;reverb_ms=1055;seed=14
wav/impact__lib__0015.wav,impact,length_ms=819.7;boom_hz=40.1;noise_ms=132.6;reverb_ms=751.3;seed=15
wav/impact__lib__0016.wav,impact,length_ms=1511;boom_hz=44.22;noise_ms=66.51;reverb_ms=1608;seed=16
wav/impact__lib__0017.wav,impact,length_ms=927.9;boom_hz=39.98;noise_ms=51.25;reverb_ms=1087;seed=17
wav/impact__lib__0018.wav,impact,length_ms=910.2;boom_hz=53.03;noise_ms=36.8;reverb_ms=1835;seed=18
wav/impact__lib__0019.wav,impact,length_ms=1888;boom_hz=45.97;noise_ms=133;reverb_ms=505.1;seed=19
wav/impact__lib__0020.wav,impact,length_ms=1373;boom_hz=35.13;noise_ms=105.6;reverb_ms=534.9;seed=20
wav/impact__lib__0021.wav,impact,length_ms=2574;boom_hz=39.34;noise_ms=80.73;reverb_ms=1214;seed=21
wav/impact__lib__0022.wav,impact,length_ms=1165;boom_hz=39.25;noise_ms=179;reverb_ms=2158;seed=22
wav/impact__lib__0023.wav,impact,length_ms=2490;boom_hz=57.13;noise_ms=147.8;reverb_ms=977.1;seed=23
wav/impact__lib__0024.wav,impact,length_ms=1592;boom_hz=63.19;noise_ms=43.25;reverb_ms=1653;seed=24
wav/impact__lib__0025.wav,impact,length_ms=1595;boom_hz=43.27;noise_ms=45.97;reverb_ms=1365;seed=25
wav/impact__lib__0026.wav,impact,length_ms=1721;boom_hz=53.45;noise_ms=63.09;reverb_ms=1117;seed=26
wav/impact__lib__0027.wav,impact,length_ms=1794;boom_hz=33.69;noise_ms=35.79;reverb_ms=580;seed=27
wav/impact__lib__0028.wav,impact,length_ms=1962;boom_hz=51.53;noise_ms=45.65;reverb_ms=553.2;seed=28
wav/impact__lib__0029.wav,impact,length_ms=794.8;boom_hz=49.79;noise_ms=76.89;reverb_ms=1147;seed=29
wav/impact__lib__0030.wav,impact,length_ms=2445;boom_hz=55.55;noise_ms=43.67;reverb_ms=1595;seed=30
wav/impact__lib__0031.wav,impact,length_ms=2377;boom_hz=63.12;noise_ms=36.05;reverb_ms=1123;seed=31
wav/impact__lib__0032.wav,impact,length_ms=1928;boom_hz=50.62;noise_ms=91.41;reverb_ms=1200;seed=32
wav/impact__lib__0033.wav,impact,length_ms=1397;boom_hz=38.45;noise_ms=57.22;reverb_ms=738.6;seed=33
wav/impact__lib__0034.wav,impact,length_ms=1974;boom_hz=58.55;noise_ms=32.89;reverb_ms=525.3;seed=34
wav/impact__lib__0035.wav,impact,length_ms=2007;boom_hz=64.55;noise_ms=63.25;reverb_ms=1566;seed=35
wav/impact__lib__0036.wav,impact,length_ms=2215;boom_hz=56.87;noise_ms=76.04;reverb_ms=1905;seed=36
wav/impact__lib__0037.wav,impact,length_ms=856.5;boom_hz=49.52;noise_ms=93.85;reverb_ms=2144;seed=37
wav/impact__lib__0038.wav,impact,length_ms=1211;boom_hz=44.43;noise_ms=66.23;reverb_ms=573.1;seed=38
wav/impact__lib__0039.wav,impact,length_ms=1718;boom_hz=44.3;noise_ms=55.4;reverb_ms=1458;seed=39
wav/impact__lib__0040.wav,impact,length_ms=1070;boom_hz=33.03;noise_ms=66.92;reverb_ms=1616;seed=40
